run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
SRR7450743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450743/SRR7450743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450743/SRR7450743_2.fastq.gz	7356119;8941677	b22dfcc0e47e8978dcd7f3c76b5740ad;574adf6df276a59db454fb9e1f90a40e									
SRR7450746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450746/SRR7450746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450746/SRR7450746_2.fastq.gz	1912843;2483824	cd7d55a3e7a37fda9075189e4ab26205;d175dc7841fb784ca0d82caa3d68b7a9									
SRR7450750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450750/SRR7450750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450750/SRR7450750_2.fastq.gz	33504119;33497532	19d6debed2b93a40c7b80e0f59870205;a95856b6595904b11d379b23a3d4df9a									
SRR7450759	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450759/SRR7450759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450759/SRR7450759_2.fastq.gz	3966395;4953261	a3f500f92392437d1598451e22f27ca1;df87453c95837aad9d069b0e3b9069db									
SRR7450761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450761/SRR7450761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450761/SRR7450761_2.fastq.gz	4729049;5755327	986ed37521c540ac6ce8a2fe537d23a9;4f7e27a8c9e96ac9dbd2d4a9f6269295									
SRR10245281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/081/SRR10245281/SRR10245281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/081/SRR10245281/SRR10245281_2.fastq.gz	28052320;34673287	275de0690d530e37293940846c5937f8;13ef92ba6a7f8992058c399940cde99d									
SRR10245283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/083/SRR10245283/SRR10245283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/083/SRR10245283/SRR10245283_2.fastq.gz	40543613;54326509	e36dae072288bd8399fda72165367379;ee968097191d9e769078de86e3c69c78									
SRR10245285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/085/SRR10245285/SRR10245285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/085/SRR10245285/SRR10245285_2.fastq.gz	33017237;43661305	5cf65956f4f3d8284d6432ad5ff6765c;5228fd2d4df3cc51ae01cef36c716d04									
SRR10245290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/090/SRR10245290/SRR10245290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/090/SRR10245290/SRR10245290_2.fastq.gz	65301600;86157515	ef49df466a883e341cf5b5d3a35ed4fd;6154e3971527ef7b89f2891f0e1dc55f									
SRR10245292	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/092/SRR10245292/SRR10245292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/092/SRR10245292/SRR10245292_2.fastq.gz	19237924;22776077	726993f700be5458f8483e8e5aadacdc;176d501e4421923fe9213d506bbff3cd									
SRR10245295	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/095/SRR10245295/SRR10245295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/095/SRR10245295/SRR10245295_2.fastq.gz	24294248;45630503	dc1ca7cf205119d09e546f6e7ca881e1;fe6a32cccef97cda2c10adafba7ef451									
SRR10245297	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/097/SRR10245297/SRR10245297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/097/SRR10245297/SRR10245297_2.fastq.gz	42585479;62193912	1d79d6806166dd1a7360aa318f006261;b5c0331daf4218b58d249e7eff44e22c									
SRR10245301	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/001/SRR10245301/SRR10245301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/001/SRR10245301/SRR10245301_2.fastq.gz	23024693;27997281	05391c786888191392b26186b0bb7a42;e269bb943616e9d56ffbff5a527fd874									
SRR10245304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/004/SRR10245304/SRR10245304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/004/SRR10245304/SRR10245304_2.fastq.gz	34902350;54180014	65c05b2392386d2a5bacb1bfb64bc455;f2c04b5b1930bfb4a3d826a615ea2e85									
SRR10245308	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/008/SRR10245308/SRR10245308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/008/SRR10245308/SRR10245308_2.fastq.gz	15272892;23170239	e7562777bd096a38d5271e2925ce51e6;a161695e5c02c1b3e9bdb2e479ab7461									
SRR10245309	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/009/SRR10245309/SRR10245309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/009/SRR10245309/SRR10245309_2.fastq.gz	22391285;35571973	44f66986bf70c47829b4d569bee12dde;d18525f99983408a3b1e5290b20b683c									
SRR10245315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/015/SRR10245315/SRR10245315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/015/SRR10245315/SRR10245315_2.fastq.gz	47429872;58322738	c0b3ee98d56bc958978918df92d7fa3c;081b2cd55c377737a92885fae8bb69dc									
SRR10245319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/019/SRR10245319/SRR10245319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/019/SRR10245319/SRR10245319_2.fastq.gz	23972284;28369640	0b8f20e4dac8d4eb7040d67ca2d321fc;8a67cc355ff45e9dcec016af775e3bc0									
SRR10245322	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/022/SRR10245322/SRR10245322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/022/SRR10245322/SRR10245322_2.fastq.gz	18491303;29679119	a4881c020a08183f445afad83383e7e4;9ecbab0f6f184ed918a1345dcc9a6c96									
SRR10245323	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/023/SRR10245323/SRR10245323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/023/SRR10245323/SRR10245323_2.fastq.gz	5161611;5511731	0e05c51e881730c65495bce93ab2b75a;b9f0b848e8074abad149bbbe9475a509									
SRR10245324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/024/SRR10245324/SRR10245324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/024/SRR10245324/SRR10245324_2.fastq.gz	44305042;56747165	88a44ba968f6bf7f2552f9116a746751;3da07e14932dd841345b16810f278055									
SRR10245327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10245327/SRR10245327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/027/SRR10245327/SRR10245327_2.fastq.gz	61027782;79895220	069f46e2e9186abd30569ab480dafb74;52b24fb1c41b0dbc3d0ec6ffa4c4057f									
SRR10245332	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10245332/SRR10245332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/032/SRR10245332/SRR10245332_2.fastq.gz	16894290;29880356	a1be3f87af5ee5f58d73f0448ca16200;46fa30e849504b62768b34cbd6962e81									
